Name, Date
FUSION TDN  A, 02/05/2015 15:00:34
FUSION TDN  A, 02/05/2015 14:57:10
FUSION TDN  A, 02/05/2015 14:52:43
FUSION TDN  A, 02/05/2015 14:51:34
FUSION TDN  A, 02/05/2015 14:45:43
FUSION TDN  A, 02/05/2015 14:43:46
FUSION TDN  A, 02/05/2015 14:26:24
FUSION TDN  A, 02/05/2015 14:25:44
FUSION TDN  A, 02/05/2015 14:19:10
FUSION TDN  A, 02/05/2015 14:17:43
FUSION TDN  A, 02/05/2015 14:06:26
FUSION TDN  A, 02/05/2015 14:05:45
CAL GRN AR, 02/05/2015 13:50:40
CAL GRN AR, 02/05/2015 13:28:47
COND ALL, 02/05/2015 13:28:31
FUSION TDN  A, 02/04/2015 17:22:17
FUSION TDN  A, 02/04/2015 17:21:42
FUSION TDN  A, 02/04/2015 16:10:43
FUSION TDN  A, 02/04/2015 16:10:25
FUSION TDN  A, 02/04/2015 15:58:30
FUSION TDN  A, 02/04/2015 15:57:13
CAL GRN AR, 02/04/2015 15:24:04
COND ALL, 02/04/2015 15:23:42
FUSION TDN  A, 02/03/2015 17:02:18
FUSION TDN  A, 02/03/2015 17:00:35
FUSION TDN  A, 02/03/2015 16:33:54
FUSION TDN  A, 02/03/2015 16:33:36
CAL GRN AR, 02/03/2015 16:03:58
CAL GRN AR, 02/03/2015 15:47:03
DIGITAL EYE STRAIN   D, 02/03/2015 15:30:55
DIGITAL EYE STRAIN   D, 02/03/2015 15:30:24
FUSION TDN  A, 02/03/2015 15:17:44
FUSION TDN  A, 02/03/2015 15:15:08
CAL GRN AR, 02/03/2015 14:44:46
COND ALL, 02/03/2015 14:44:27
FUSION TDN  A, 01/31/2015 15:06:18
FUSION TDN  A, 01/31/2015 15:05:25
FUSION TDN  A, 01/31/2015 14:56:45
FUSION TDN  A, 01/31/2015 14:55:43
CAL GRN AR, 01/31/2015 14:42:35
CAL GRN AR, 01/31/2015 14:27:00
COND ALL, 01/31/2015 14:26:44
FUSION TDN  A, 01/29/2015 17:19:49
FUSION TDN  A, 01/29/2015 17:19:17
CAL GRN AR, 01/29/2015 17:02:59
CAL GRN AR, 01/29/2015 15:22:26
CAL GRN AR, 01/29/2015 15:07:39
LO INDEX MONO   F   B, 01/29/2015 14:28:39
HI INDEX MONO   F   B, 01/29/2015 14:28:21
LO INDEX MONO   B, 01/29/2015 11:37:43
LO INDEX MONO   F, 01/29/2015 11:32:56
COND ALL, 01/29/2015 11:32:33
LO INDEX MONO   F   B, 01/28/2015 19:49:49
LO INDEX MONO   F   B, 01/28/2015 19:06:57
COND ALL, 01/28/2015 19:06:38
LO INDEX MONO   F   B, 01/28/2015 13:25:15
COND ALL, 01/28/2015 13:24:36
COND ALL, 01/28/2015 13:03:18
COND ALL, 01/28/2015 13:02:49
CAL GRN AR, 01/27/2015 20:41:07
LO INDEX MONO   F   B, 01/27/2015 20:24:50
HI INDEX MONO   F   B, 01/27/2015 20:24:14
LO INDEX MONO   F   B, 01/27/2015 20:07:30
CAL GRN AR, 01/27/2015 20:07:12
COND ALL, 01/27/2015 20:06:55
CAL GRN AR, 01/27/2015 19:50:47
COND ALL, 01/27/2015 19:45:16
CAL GRN AR, 01/27/2015 12:15:06
CAL GRN AR, 01/27/2015 12:03:54
CAL GRN AR, 01/27/2015 11:40:20
LO INDEX MONO   F   B, 01/27/2015 11:25:43
CAL GRN AR, 01/27/2015 11:25:02
CAL GRN AR, 01/27/2015 11:13:34
CAL GRN AR, 01/27/2015 10:48:01
CAL GRN AR, 01/27/2015 10:34:28
LO INDEX MONO   B, 01/27/2015 10:17:39
COND ALL, 01/27/2015 10:16:34
LO INDEX MONO   B, 01/27/2015 10:07:05
LO INDEX MONO   F   B, 01/27/2015 09:54:54
LO INDEX MONO   F   B, 01/27/2015 09:34:13
HI INDEX MONO   F   B, 01/27/2015 09:33:48
CAL GRN AR, 01/27/2015 09:18:25
COND ALL, 01/27/2015 08:57:04
COND ALL, 01/27/2015 08:56:41
HI INDEX MONO  B, 01/26/2015 16:25:58
HI INDEX MONO  F, 01/26/2015 16:25:24
LO INDEX MONO   B, 01/26/2015 16:00:46
LO INDEX MONO   F, 01/26/2015 16:00:21
CAL GRN AR, 01/26/2015 15:47:38
COND ALL, 01/26/2015 15:46:33
HARVEST GOLD NEW  3, 01/24/2015 14:13:53
HARVEST GOLD NEW  3, 01/24/2015 14:07:47
CAL GRN AR, 01/24/2015 13:52:18
CAL GRN AR, 01/24/2015 13:32:29
COND ALL, 01/24/2015 13:32:02
FUSION TDN  A, 01/23/2015 19:12:07
FUSION TDN  A, 01/23/2015 19:10:21
FUSION TDN  A, 01/23/2015 19:09:19
FUSION TDN  A, 01/23/2015 18:41:13
FUSION TDN  A, 01/23/2015 18:39:47
